pID,pName,culture,adventure,wildlife,sightseeing,history,tags,province,latitude,longitude
137,Shailung Hills,0,0.6,0,0.6,0.6,"hill,trekking",3,,
138,Jiri,0.6,0.4,0,0.6,0,"hill,trekking",3,27.66741145,86.2728199742253
139,Gaurishankar conservation area,0,0.8,1,0.6,0,"red panda, mountain, hills, trekking",3,27.7392512,86.1655540599631
140,Jilu Village,0.6,0,0,0.4,0.6,"cultural, village",3,26.6682712,103.133342
141,Tsho Rolpa,0,1,0,0.4,0,"lake, pond, trekking",3,27.860187,86.4776545194453
142,Tasi Gumba,0.8,0.4,0,0.6,0.8,"hindu, buddhist,monastery",3,27.9755078,85.6509255
143,Langtang Himal,0,1,0,0,0,"mountain, hills, trekking",3,28.46415855,85.5088024201235
144,Langtang National Park,0,0.8,0.8,0.6,0,"trekking, wildlife.mountain,hills",3,28.17412075,85.596249351814
145,Gosaikunda,0,0.8,0,0.6,0.6,"lake,pond,mountain,trekking",3,28.0825369,85.4137967961074
146,Tamang heritage and Langtang Valley,0.8,0,0,0.4,0.6,"village, scenary, trekking",3,,
147,Singa La Pass Trek,0,1,0,0.6,0,"trekking, scenary,village,mountain, hills",3,,
148,Trishuli River ,0,1,0,0.6,0,"rafting, river, trekking",3,27.8097807,84.8811462
149,Ruby Valley Trek,0,0.8,0,0.4,0,"trekking, mountain, hills, scenery",3,,
150,Ganga Jamuna Trek,0,0.8,0,0.4,0,"trekking, mountain, hills, scenery",3,,
151,Ganesh Himal Trek,0,1,0,0.6,0,"trekking,mountain,hills, scenery",3,28.1422861,85.3603049
152,Jyamrung Trek,0,0.8,0,0.6,0,"trekking,mountain,hills, scenery",3,,
153,Tripurasundari Mai,0.8,0,0,0.8,0.6,"temple,hindu, cultural",3,,
154,Nuwakot Durbar,0.8,0,0,0.6,1,"cultural, historical",3,27.9147701,85.1649380852131
155,Langtang Valley,0.4,0.6,0,0.6,0,"trekking, scenery, rhododendron",3,28.2104483,83.9569468
156,Kulekhani Dam,0,0,0,0.6,0,"dam, river, boat tour",3,,
157,Dhaulagiri of Nepal,0,1,0,0,0,"mountain,scenary,trekking",3,28.6802539,83.6011156
158,Daman ,0.6,0.6,0,0.6,0.8,"hills, mountain, picnic spot",3,20.4169701,72.833173
159,Kyanjin Ri ,0,0.8,0,0.6,0,"hills, mountain, trekking",3,28.2235944,85.5757748
160,Thamel,0.4,0.6,0,0.8,0,"club, casino, tour, scultptures",3,27.717028,85.311256
161,Freak Street,0.6,0,0,0.6,0.6,"street, tour,club, sculptures",3,27.7025673803168,85.3076280758681
162,Asan Tole,0.8,0.2,0,0.8,0.6,"sculpture, hindu, temple, cultural",3,,
163,Garden Of Dreams,0,0.4,0,0.6,0.6,"Garden, pond",3,55.86808365,-4.38837199088779
164,Kopan Monastery,0.6,0,0,0.4,0.6,"monastery, buddhist",3,27.7422025,85.3638786220008
165,Kumari Bahal,0.8,0,0,0.4,1,"hindu, historical, buddhist",3,27.72211425,85.35901105
166,Chabahil Stupa,0.8,0.4,0,0.6,0.6,"buddhist, hindu, cultural",3,27.7158685,85.3458766723038
